CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69185	82	69	692	6923	8202	246900682	Saint-Christophe	233	218	14.62	25	31	96	171	58	1657797	117	41	11953	36	16	64		7	2	2	0	3	3	0
69186	82	69	692	6923	8202	246900682	Saint-Clément-de-Vers	213	177	8.96	20	35	80	153	59	2224028	118	55	13778	52	36	60		11	0	4	3	4	4	1
69187	82	69	691	6927	8211	246900690	Saint-Clément-les-Places	536	473	12.42	72	42	194	248	31	5609893	314	154	14108	154	98	132	8	28	3	4	4	17	7	2
69188	82	69	692	6929	8211	246900708	Saint-Clément-sur-Valsonne	546	467	14.51	56	129	191	284	69	6433122	357	173	15928	96	76	172	11	26	5	6	6	9	10	3
69189	82	69	691	6907	8214	ZZZZZZZZZ	Sainte-Colombe	1808	1560	1.6	218	148	816	937	27	27658945	1167	698	18396	521	384	592	54	172	11	16	18	127	51	9
69190	82	69	691	6931	8211	246900724	Sainte-Consorce	1608	1223	5.81	139	53	550	585	25	29042715	843	637	24343	470	401	348	30	87	15	11	11	50	25	11
69191	82	69	691	6910	8211	246900245	Saint-Cyr-au-Mont-d'Or	5392	5318	7.29	443	468	1852	2044	74	163681525	2643	1931	32061	2016	1808	1608	88	346	17	20	58	251	115	25
69192	82	69	692	6953	8202	246900807	Saint-Cyr-le-Chatoux	107	85	6.28	9	3	38	47	8	1520561	56	35		28	20	24		12	2	2	1	7	4	0
69193	82	69	691	6907	8214	246900633	Saint-Cyr-sur-le-Rhône	960	818	6.02	59	30	315	334	15	19338211	513	398	23394	159	127	68	18	37	3	12	8	14	18	3
69194	82	69	691	6910	8211	246900245	Saint-Didier-au-Mont-d'Or	6154	5967	8.34	455	296	2153	2350	82	190398682	3026	2355	33741	1722	1449	1080	94	518	15	29	73	401	136	41
69195	82	69	691	6924	8211	246900740	Saint-Didier-sous-Riverie	1148	1018	13.9	143	48	414	480	37	11785823	522	293	17044	184	84	180	15	35	4	7	6	18	10	2
69196	82	69	692	6904	8202	246900781	Saint-Didier-sur-Beaujeu	402	439	14.62	34	46	169	220	29	5109228	280	147	16509	104	64	152	16	33	5	11	4	13	15	1
69197	82	69	692	6905	8202	246900674	Saint-Étienne-des-Oullières	1519	1367	9.66	180	97	560	619	29	19374709	857	494	16526	364	180	368	40	116	14	21	25	56	47	8
69198	82	69	692	6905	8202	246900641	Saint-Étienne-la-Varenne	608	518	6.96	73	38	219	252	29	7817562	306	184	16641	136	68	104	9	28	3	7	6	12	12	1
69199	82	69	691	6949	8211	246900245	Saint-Fons	15671	15735	6.06	2393	950	5967	6708	102	131800529	8758	3805	12064	7924	7532	9552	747	725	83	113	152	377	291	81
69200	82	69	692	6929	8211	246900708	Saint-Forgeux	1353	1232	22.27	160	77	474	590	74	15623649	718	413	17709	352	292	328	14	63	10	15	10	28	32	6
69201	82	69	691	6927	8211	246900690	Sainte-Foy-l'Argentière	1167	1152	1.54	131	134	530	604	27	11889660	736	334	14815	651	575	848	20	117	18	11	27	61	42	14
69202	82	69	691	6950	8211	246900245	Sainte-Foy-lès-Lyon	21193	21450	6.83	2696	1577	8468	9032	134	388402176	11678	8142	22960	4556	3993	4206	430	964	29	75	154	706	339	55
69203	82	69	691	6927	8211	246900690	Saint-Genis-l'Argentière	860	802	10.65	80	47	314	377	45	9636944	510	273	15426	169	133	100	23	43	8	11	7	17	18	3
69204	82	69	691	6926	8211	246900245	Saint-Genis-Laval	19221	18782	12.92	2547	906	7190	7708	79	301151644	10459	7005	21018	8956	8166	8656	402	1162	104	111	290	657	462	155
69205	82	69	691	6931	8211	246900245	Saint-Genis-les-Ollières	4743	4211	3.74	438	210	1635	1705	22	80541819	2280	1680	23803	612	496	524	73	198	12	36	28	122	69	11
69206	82	69	692	6905	8202	246900674	Saint-Georges-de-Reneins	3832	3509	27.49	459	254	1461	1592	47	52790648	2184	1290	17714	1503	1295	1360	115	255	31	49	52	123	92	19
69207	82	69	691	6925	8211	246900245	Saint-Germain-au-Mont-d'Or	2385	2429	5.43	320	115	890	948	22	33777074	1279	820	19953	495	447	424	61	97	8	17	12	60	33	6
